"ts","EventID","FILE_PATH","PROCESS_ID","USER_NAME","Image","ProcessId","User","DestinationIp","DestinationPort","DestinationPortName","Protocol","SourcePort","ImageLoaded","Signature","SignatureStatus","Signed","TargetFileName","this"
"2024-12-10 13:14:36",,"C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.496.0_x64__qbz5n2kfra8p0\python3.13.exe",6964,"HOMELAB\pparker",,,,,,,,,,,,,,"b1d858bb333c4cf611e013df67583ebc"
"2024-12-10 13:14:31","3",,,,"C:\Users\pparker\AppData\Local\Programs\Microsoft VS Code\Code.exe","3080","HOMELAB\pparker","40.79.167.8","443","https","tcp","51268",,,,,,"b83796ceca3d6f0cfdfc26e167583eb7"
"2024-12-10 13:14:28",,"C:\Windows\system32\SearchFilterHost.exe",1432,"NT AUTHORITY\SYSTEM",,,,,,,,,,,,,,"b05389e9f1d34a88fdaee8e367583eb4"
"2024-12-10 13:14:11","3",,,,"C:\Users\pparker\AppData\Local\Programs\Microsoft VS Code\Code.exe","3080","HOMELAB\pparker","10.100.100.131","53","domain","udp","49221",,,,,,"b09356a9ef20392993bafee167583ea3"
"2024-12-10 13:14:11","3",,,,"C:\Users\pparker\AppData\Local\Programs\Microsoft VS Code\Code.exe","3080","HOMELAB\pparker","10.100.100.131","53","domain","udp","49416",,,,,,"f8ff9fe99c7db84ff7f140ec67583ea3"
"2024-12-10 13:14:11","3",,,,"C:\Users\pparker\AppData\Local\Programs\Microsoft VS Code\Code.exe","3080","HOMELAB\pparker","40.79.167.8","443","https","tcp","51267",,,,,,"b36c18007a410d814e250ed067583ea3"
"2024-12-10 13:13:53",,"C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe",8640,"NT AUTHORITY\SYSTEM",,,,,,,,,,,,,,"b659d7e5a7a30338e574555567583e92"
"2024-12-10 13:13:52","3",,,,"C:\Users\pparker\AppData\Local\Programs\Microsoft VS Code\Code.exe","3080","HOMELAB\pparker","51.104.15.252","443","https","tcp","51266",,,,,,"37fda7d97e5b7cef3821141467583e90"
"2024-12-10 13:13:52",,"C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.496.0_x64__qbz5n2kfra8p0\python3.13.exe",7300,"HOMELAB\pparker",,,,,,,,,,,,,,"0ff8693eeaaf6428973a3eab67583e91"
"2024-12-10 13:13:41","3",,,,"C:\Users\pparker\AppData\Local\Programs\Microsoft VS Code\Code.exe","3080","HOMELAB\pparker","51.104.15.252","443","https","tcp","51265",,,,,,"41b5a9735350a8b8cb62977867583e85"
"2024-12-10 13:13:40",,"C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.496.0_x64__qbz5n2kfra8p0\python3.13.exe",6228,,,,,,,,,,,,,,,"04e902708069c242b812eb3867583e84"
"2024-12-10 13:13:27",,"C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.496.0_x64__qbz5n2kfra8p0\python3.13.exe",900,"HOMELAB\pparker",,,,,,,,,,,,,,"dcbc3cca09aa0ecc7e5bce1067583e77"
"2024-12-10 13:13:23","3",,,,"C:\Users\pparker\AppData\Local\Programs\Microsoft VS Code\Code.exe","3080","HOMELAB\pparker","51.104.15.252","443","https","tcp","51264",,,,,,"6403563ee526b62aa203dc6867583e73"
"2024-12-10 13:13:00",,"C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.496.0_x64__qbz5n2kfra8p0\python3.13.exe",1264,"HOMELAB\pparker",,,,,,,,,,,,,,"985e84d8d7592c3495f20a0567583e5d"
"2024-12-10 13:12:58","3",,,,"C:\Users\pparker\AppData\Local\Programs\Microsoft VS Code\Code.exe","3080","HOMELAB\pparker","10.100.100.131","53","domain","udp","55520",,,,,,"1712fdfdf8fa625769b1eae867583e5a"
"2024-12-10 13:12:58","3",,,,"C:\Users\pparker\AppData\Local\Programs\Microsoft VS Code\Code.exe","3080","HOMELAB\pparker","51.104.15.252","443","https","tcp","51263",,,,,,"d8b2e07ccdea092e052536a167583e5a"
"2024-12-10 13:12:58","3",,,,"C:\Users\pparker\AppData\Local\Programs\Microsoft VS Code\Code.exe","3080","HOMELAB\pparker","10.100.100.131","53","domain","udp","52296",,,,,,"e97eff5d2560552bfc5788ea67583e5a"
"2024-12-10 13:12:20",,"C:\Windows\system32\wbem\wmiprvse.exe",9508,"NT AUTHORITY\NETWORK SERVICE",,,,,,,,,,,,,,"403e1e303cf60f19fb199e6967583e34"
"2024-12-10 13:12:17",,"C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.496.0_x64__qbz5n2kfra8p0\python3.13.exe",11076,"HOMELAB\pparker",,,,,,,,,,,,,,"fe61b80bc40222e1da719a9d67583e31"
"2024-12-10 13:12:09","3",,,,"C:\Users\pparker\AppData\Local\Programs\Microsoft VS Code\Code.exe","3080","HOMELAB\pparker","51.116.253.170","443","https","tcp","56353",,,,,,"3d6bd07b106abdc45ebe645967583e29"
"2024-12-10 13:12:05",,"C:\Windows\system32\SearchProtocolHost.exe",3972,"NT AUTHORITY\SYSTEM",,,,,,,,,,,,,,"7c82783b0b6d72fc5669119067583e26"
"2024-12-10 13:12:05",,"C:\Windows\system32\SearchFilterHost.exe",7348,"NT AUTHORITY\SYSTEM",,,,,,,,,,,,,,"b8efec78177ac85b54d3e7b967583e26"
"2024-12-10 13:11:49","3",,,,"C:\Users\pparker\AppData\Local\Programs\Microsoft VS Code\Code.exe","3080","HOMELAB\pparker","10.100.100.131","53","domain","udp","62436",,,,,,"0edc778b1e5b59d6de293d8067583e15"
"2024-12-10 13:11:49","3",,,,"C:\Users\pparker\AppData\Local\Programs\Microsoft VS Code\Code.exe","3080","HOMELAB\pparker","10.100.100.131","53","domain","udp","52027",,,,,,"a898372b981cd3947000326c67583e15"
"2024-12-10 13:11:49","3",,,,"C:\Users\pparker\AppData\Local\Programs\Microsoft VS Code\Code.exe","3080","HOMELAB\pparker","51.116.253.170","443","https","tcp","56340",,,,,,"6c70ce885080ea8440602d8767583e15"
"2024-12-10 13:11:40","3",,,,"C:\Users\pparker\AppData\Local\Programs\Microsoft VS Code\Code.exe","3080","HOMELAB\pparker","152.199.4.33","443","https","tcp","56339",,,,,,"e1151e187ab8565633c665ea67583e0c"
"2024-12-10 13:11:21",,"C:\Windows\system32\taskhostw.exe",8760,"NT AUTHORITY\SYSTEM",,,,,,,,,,,,,,"71113ce089ba50d639fb099d67583dfa"
"2024-12-10 13:10:54",,"C:\Windows\system32\gpupdate.exe",9864,"NT AUTHORITY\NETWORK SERVICE",,,,,,,,,,,,,,"178d6d40c2abfa62bc8a59a067583dde"
"2024-12-10 13:10:54",,"C:\Windows\System32\Conhost.exe",7360,"NT AUTHORITY\NETWORK SERVICE",,,,,,,,,,,,,,"a7a92b561c7fed3282a21e7167583dde"
"2024-12-10 13:10:37","3",,,,"C:\Users\pparker\AppData\Local\Programs\Microsoft VS Code\Code.exe","3080","HOMELAB\pparker","10.100.100.131","53","domain","udp","52433",,,,,,"d98ad0c06e187fc3f8f7c57b67583dcd"
"2024-12-10 13:10:37","3",,,,"C:\Users\pparker\AppData\Local\Programs\Microsoft VS Code\Code.exe","3080","HOMELAB\pparker","10.100.100.131","53","domain","udp","56334",,,,,,"357b38903d87ba73a2b2726e67583dcd"
"2024-12-10 13:10:37","3",,,,"C:\Users\pparker\AppData\Local\Programs\Microsoft VS Code\Code.exe","3080","HOMELAB\pparker","13.89.179.8","443","https","tcp","56332",,,,,,"a2b875cf417bdfd9d9fae20067583dcd"
"2024-12-10 13:10:35","3",,,,"C:\Users\pparker\AppData\Local\Programs\Microsoft VS Code\Code.exe","3080","HOMELAB\pparker","10.100.100.131","53","domain","udp","60968",,,,,,"4c0899832ef54203d31406b467583dcb"
"2024-12-10 13:10:35","3",,,,"C:\Users\pparker\AppData\Local\Programs\Microsoft VS Code\Code.exe","3080","HOMELAB\pparker","13.107.246.36","443","https","tcp","56331",,,,,,"231d33658d31409fc91ece2d67583dcb"
"2024-12-10 13:10:35","3",,,,"C:\Users\pparker\AppData\Local\Programs\Microsoft VS Code\Code.exe","3080","HOMELAB\pparker","10.100.100.131","53","domain","udp","57246",,,,,,"9e607a2641ec371233f8e65167583dcb"
"2024-12-10 13:10:01",,"C:\Windows\System32\svchost.exe",9596,"NT AUTHORITY\SYSTEM",,,,,,,,,,,,,,"dcb7d2bc36c39dd46e165efa67583daa"
"2024-12-10 13:09:52","3",,,,"C:\Users\pparker\AppData\Local\Microsoft\OneDrive\OneDrive.exe","7292","HOMELAB\pparker","20.22.207.36","443","https","tcp","56309",,,,,,"93d4695cf7d976c7bc70222e67583da0"
"2024-12-10 13:09:52","3",,,,"C:\Users\pparker\AppData\Local\Microsoft\OneDrive\OneDrive.exe","7292","HOMELAB\pparker","23.41.169.39","443","https","tcp","56310",,,,,,"fb5951042491742aba1a48b267583da0"
"2024-12-10 13:09:06",,"C:\Windows\System32\dsregcmd.exe",9544,"NT AUTHORITY\SYSTEM",,,,,,,,,,,,,,"db3abdaab3acc1c1babe18de67583d72"
"2024-12-10 13:09:06",,"C:\Windows\System32\Conhost.exe",1260,"NT AUTHORITY\SYSTEM",,,,,,,,,,,,,,"46d54cdf0ae9a1cbc156369767583d72"
"2024-12-10 13:09:01",,"C:\Windows\system32\taskhostw.exe",9920,"HOMELAB\pparker",,,,,,,,,,,,,,"e645da8fefcb9dda8dbe816867583d6d"
"2024-12-10 13:08:58",,"C:\Windows\system32\svchost.exe",7560,"NT AUTHORITY\SYSTEM",,,,,,,,,,,,,,"2e685cea95e46a659d3e6da767583d6a"
"2024-12-10 13:08:27",,"C:\Windows\system32\sppsvc.exe",6088,"NT AUTHORITY\NETWORK SERVICE",,,,,,,,,,,,,,"9a0443003cc75c9be53e379167583d4b"
"2024-12-10 13:07:53",,"C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.496.0_x64__qbz5n2kfra8p0\python3.13.exe",10112,"HOMELAB\pparker",,,,,,,,,,,,,,"05dd1e9328f6ae383304ab3667583d29"
"2024-12-10 13:07:48",,"C:\Windows\system32\svchost.exe",6840,"NT AUTHORITY\SYSTEM",,,,,,,,,,,,,,"1b44526291e3e2f034e2c32967583d24"
"2024-12-10 13:07:48",,"C:\Windows\system32\backgroundTaskHost.exe",5100,"HOMELAB\pparker",,,,,,,,,,,,,,"13239847381935993a62a07267583d24"
"2024-12-10 13:07:48",,"C:\Windows\system32\svchost.exe",4480,"NT AUTHORITY\SYSTEM",,,,,,,,,,,,,,"e074a9e50c28fac0bf668ef767583d24"
"2024-12-10 13:07:46","3",,,,"C:\Users\pparker\AppData\Local\Programs\Microsoft VS Code\Code.exe","3080","HOMELAB\pparker","10.100.100.131","53","domain","udp","60465",,,,,,"a5fe9fd276854a6baa7bcd4c67583d22"
"2024-12-10 13:07:46","3",,,,"C:\Users\pparker\AppData\Local\Programs\Microsoft VS Code\Code.exe","3080","HOMELAB\pparker","10.100.100.131","53","domain","udp","60244",,,,,,"cdd8d692c87f23b91ce28c3b67583d22"
"2024-12-10 13:07:46","3",,,,"C:\Users\pparker\AppData\Local\Programs\Microsoft VS Code\Code.exe","3080","HOMELAB\pparker","20.42.65.89","443","https","tcp","49265",,,,,,"4d708acc8ef752562871be2367583d22"
"2024-12-10 13:07:42",,"C:\Windows\system32\SearchProtocolHost.exe",8604,"NT AUTHORITY\SYSTEM",,,,,,,,,,,,,,"ce261d8e7b163b9f4913102967583d1e"
"2024-12-10 13:07:42",,"C:\Windows\system32\SearchFilterHost.exe",4896,"NT AUTHORITY\SYSTEM",,,,,,,,,,,,,,"59ccd99f75ffad67b63f383167583d1e"
"2024-12-10 13:07:34","3",,,,"C:\Users\pparker\AppData\Local\Microsoft\OneDrive\OneDrive.exe","7292","HOMELAB\pparker","52.123.251.49","443","https","tcp","49264",,,,,,"62a57a127f2361a9ad5df79b67583d16"
"2024-12-10 13:06:52",,"C:\Windows\system32\sc.exe",8892,,,,,,,,,,,,,,,"a453d58a425e3de0d2c661b567583cec"
"2024-12-10 13:06:52",,"C:\Windows\System32\Conhost.exe",32,,,,,,,,,,,,,,,"0d89bf60bebb041b719f6c0267583cec"
"2024-12-10 13:06:52",,"C:\Windows\system32\svchost.exe",1272,"NT AUTHORITY\SYSTEM",,,,,,,,,,,,,,"4797d065f0375d23c12e20d467583cec"
"2024-12-10 13:06:52",,"C:\Windows\system32\wbem\wmiprvse.exe",4256,"NT AUTHORITY\NETWORK SERVICE",,,,,,,,,,,,,,"6799ba078167abd5f02a754467583ced"
"2024-12-10 13:06:40","3",,,,"C:\Users\pparker\AppData\Local\Programs\Microsoft VS Code\Code.exe","3080","HOMELAB\pparker","152.199.4.33","443","https","tcp","49263",,,,,,"eacda9e3504326b6409a579567583ce0"
"2024-12-10 13:03:48",,"C:\Windows\system32\SearchFilterHost.exe",4612,"NT AUTHORITY\SYSTEM",,,,,,,,,,,,,,"5b66bab03256e9c07bef139d67583c35"
"2024-12-10 13:03:44",,"C:\Windows\system32\wbem\wmiprvse.exe",10580,"NT AUTHORITY\NETWORK SERVICE",,,,,,,,,,,,,,"8dd468652353ba5d99d9617267583c31"
"2024-12-10 13:03:43",,"C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.496.0_x64__qbz5n2kfra8p0\python3.13.exe",7128,"HOMELAB\pparker",,,,,,,,,,,,,,"184873e2f7ab0bd4cfd620aa67583c30"
"2024-12-10 13:03:38","3",,,,"C:\Users\pparker\AppData\Local\Programs\Microsoft VS Code\Code.exe","3080","HOMELAB\pparker","52.168.117.170","443","https","tcp","49262",,,,,,"e4d5d7ef2b1e6b4553fa52ae67583c2a"
"2024-12-10 13:03:37","3",,,,"C:\Users\pparker\AppData\Local\Programs\Microsoft VS Code\Code.exe","3080","HOMELAB\pparker","10.100.100.131","53","domain","udp","50901",,,,,,"18bc0cc74dd6dd82ebec9a0767583c29"
"2024-12-10 13:03:37","3",,,,"C:\Users\pparker\AppData\Local\Programs\Microsoft VS Code\Code.exe","3080","HOMELAB\pparker","10.100.100.131","53","domain","udp","65048",,,,,,"5b1a1b11b6791f29d6c271d467583c29"
"2024-12-10 13:02:01","3",,,,"C:\Users\pparker\AppData\Local\Programs\Microsoft VS Code\Code.exe","3080","HOMELAB\pparker","10.100.100.131","53","domain","udp","57068",,,,,,"46c49dd5e2b79a8733c40b5767583bc9"
"2024-12-10 13:02:01","3",,,,"C:\Users\pparker\AppData\Local\Programs\Microsoft VS Code\Code.exe","3080","HOMELAB\pparker","10.100.100.131","53","domain","udp","59915",,,,,,"a0000dd76678c736301462e667583bc9"
